Serial,LatGauge,LonGauge,GAGEID,Cluster,Regime
1,40.95911,-110.58,9217900,1,Interior
2,42.11049,-110.71,9223000,1,Interior
3,39.87579,-111.037,9312600,1,Interior
4,42.79083,-118.8675,10396000,1,Interior
5,40.0546,-122.02415,11381500,2,Maritime
6,40.01405,-121.94832,11383500,2,Maritime
7,39.70627,-123.32529,11473900,2,Maritime
8,40.48042,-123.89088,11478500,2,Maritime
9,41.29929,-124.05118,11482500,2,Maritime
10,41.11126,-122.70558,11523200,1,Interior
11,40.64986,-123.49421,11528700,2,Maritime
12,41.7915,-124.07619,11532500,2,Maritime
13,47.80675,-124.25103,12041200,2,Maritime
14,47.34037,-123.28016,12060500,2,Maritime
15,46.74427,-122.14455,12083000,2,Maritime
16,46.18449,-113.502,12332000,1,Interior
17,48.49524,-114.01,12358500,1,Interior
18,47.58605,-115.355,12390700,1,Interior
19,47.70611,-115.979,12411000,1,Interior
20,47.56889,-116.253,12413000,1,Interior
21,47.27464,-116.189,12414500,1,Interior
22,48.32958,-120.69177,12451000,1,Interior
23,47.81846,-120.42314,12452800,1,Interior
24,43.85028,-110.518,13011500,1,Interior
25,43.83806,-110.441,13011900,1,Interior
26,41.93324,-115.675,13161500,1,Interior
27,43.65944,-115.727,13185000,1,Interior
28,44.98694,-115.725,13310700,1,Interior
29,46.15083,-115.587,13337000,1,Interior
30,46.08639,-115.977,13338500,1,Interior
31,46.47833,-116.258,13340000,1,Interior
32,46.84047,-115.621,13340600,1,Interior
33,45.83678,-122.46621,14222500,2,Maritime
34,42.804,-123.61091,14309500,2,Maritime
35,42.12344,-124.18731,14400000,2,Maritime
