LatGauge,LonGauge,GAGEID,FittedSlope,FittedIntercept,Slope,Nov1SM,MeanWinterSM,TheilSenSlope,SpringRunoffVIC,SpringRunoffRatioVIC,AvgWinterTemp,AvgAnnualTemp,PeakSWE,WinterPrecip,SpringPrecip,PeakSWE_PrecipRatio,Apr1SWE,MeanOctSM,MeanNovSM,MeanDOWYPeakSWE,NovTemp,DecTemp,JanTemp,FebTemp,NovSWE,DecSWE,JanSWE,JanSM,TheilSenSlopeSpring,SlopeSpring,VolSMChangeWint,VolSMChangeSp,SM_DOWYPeakSWE,VolSMChangeSpringPSWE,July31SM,SpringRunoffPSWE_VIC,SpringPrecipPSWE,WinterPrecipPSWE,SpringEvapPSWE,SpringBaseflowPSWE,OctPrecip,NovPrecip,DecPrecip,JanPrecip,FebPrecip,MarPrecip,AprPrecip,MayPrecip,JunPrecip,JulPrecip,Dec1SM,Jan1SM,Feb1SM,Mar1SM,Apr1SM,FirstDayBelow0Temp,NumbDaysBelow0Temp,MaxConsDaysBelow0Temp,FirstDayAbove0Temp,SM_0TempDay,SM_PosTempDay,Snowout,Snowmelt,CorrNov1SM_RR,PValue_CorrNov1SMRR,CorrNov1SM_SR,PValue_CorrNov1SMSR,CorrOctSM_RR,PValue_CorrOctSMRR,CorrOctSM_SR,PValue_CorrOctSMSR,CorrNovSM_RR,PValue_CorrNovSMRR,CorrNovSM_SR,PValue_CorrNovSMSR,R2_Nov1SM_SR,R2_Nov1SM_RR,R2_OctSM_SR,R2_OctSM_RR,R2_NovSM_SR,R2_NovSM_RR,PercCluster1,Cluster,Gage,Elev_band,Snowout,MeanDOWYPeakSWE,Snowout_cal_yr,MeanDOWYPeakSWE_CalYr,Snowout_cal_yr_dt,MeanDOWYPeakSWE_CalYr_dt
1,1,10396000_16,0.276342686,248.4636968,#NAME?,252.3478676,282.2807546,0.221489209,15.26137685,0.041740961,1.66607006,7.17090232,34.23346852,230.3997222,132.4157407,0.141538701,0.341955556,246.7364328,257.29865,106.8148148,1.458611543,-2.703045759,-2.285155137,-0.022955355,1.454877901,9.961368907,18.387498,279.9733099,-0.035321236,-0.056354217,18.87919815,-10.11868148,271.2270657,44.95751111,261.1083843,34.97030833,224.9917593,141.2505556,169.8717065,60.90823704,30.95675926,37.81351852,46.64111111,38.43703704,32.65574074,42.03175926,39.01833333,49.78305556,31.97148148,11.64287037,262.8408519,273.1518861,286.0819704,300.6425667,318.439175,56.14814815,74.74074074,29.62962963,99,273.6516,263.7923,124,1.68042,-0.2672544,0.050742079,-0.037842014,0.785874698,-0.237765991,0.083406007,-0.055979637,0.687643758,-0.320828099,0.018013923,-0.073614533,0.596794975,0.001432018,0.071424914,0.00313372,0.056532666,0.0054191,0.102930669,98.14814815,1.018518519,10396000,16,124,107,32,15,2000-02-01,2000-01-14
1,1,10396000_17,0.209488772,250.1078201,#NAME?,253.5792204,278.9725763,0.159651423,15.8466463,0.043688618,1.271115435,6.879951549,33.77983519,224.1451852,134.0286111,0.142189116,0.714292593,247.5530041,258.1682572,113.2592593,1.140043364,-3.010164456,-2.608528256,-0.374357081,1.59576892,9.920159588,17.75592763,275.4787599,-0.035120896,-0.05911027,16.89034352,-9.629682407,270.4695639,42.61321204,260.8398815,33.77636852,216.8334259,144.6346296,164.7829167,58.14159907,32.41092593,37.09324074,41.37907407,34.13361111,33.96259259,43.2537037,39.43407407,52.51657407,30.9037037,11.17425926,263.0691056,270.4104278,280.1811759,294.7686009,313.6715352,54.12962963,80,31.96296296,100,274.0629,263.8529,124,2.718766667,-0.230919005,0.092960093,0.013436496,0.923177771,-0.191959757,0.164354522,0.004094507,0.97655799,-0.285171186,0.03660386,-0.024596055,0.859869095,0.000180539,0.053323587,1.68E-05,0.036848548,0.000604966,0.081322605,98.14814815,1.018518519,10396000,17,124,113,32,21,2000-02-01,2000-01-21
1,1,10396000_18,0.20428253,257.375459,#NAME?,260.682687,285.9100166,0.151983964,16.53829074,0.045862807,1.313122627,6.875478692,33.3718537,223.0074074,134.0144444,0.140907224,0.799603704,254.3067297,265.5058648,111.4814815,1.152291296,-3.001906452,-2.601633751,-0.360690364,1.593063395,9.799440681,17.57775257,282.1936133,0.002941794,-0.05117837,16.61352037,-8.460385185,277.2962074,43.21583704,268.8358222,34.8128463,218.022037,142.4592593,160.6535852,60.66186852,32.50814815,37.00314815,40.88703704,33.7062963,33.91,43.03962963,39.30055556,52.67685185,30.87166667,11.16537037,270.4813185,277.2582926,286.7547407,301.3757185,320.6510167,54.2037037,79.94444444,31.61111111,100,280.2054,269.7636,124,2.723216667,-0.244705722,0.074528004,0.023960772,0.863453513,-0.202218259,0.142533399,0.0143972,0.917703331,-0.304442591,0.025203862,-0.019258366,0.890065862,0.000574119,0.05988089,0.000207279,0.040892224,0.000370885,0.092685291,98.14814815,1.018518519,10396000,18,124,111,32,19,2000-02-01,2000-01-19
1,1,10396000_19,0.370339059,227.7956515,Inf,225.0388049,269.1231077,0.251653651,38.89193148,0.065282399,-0.614971561,5.756775894,120.9284623,379.8771605,191.4138889,0.30175301,31.83658704,215.9986627,237.3928719,139.1296296,-0.107139712,-4.381709757,-3.99578871,-1.769273657,8.246630103,36.7418602,71.14781185,260.8201747,-0.654987235,-0.268269452,44.51881605,-43.25806605,269.557621,93.6624216,226.2995549,73.70963827,266.9147531,308.6794444,274.5539759,77.16677778,42.87537037,70.12876543,69.06234568,65.01240741,59.0941358,70.16975309,67.6958642,72.1241358,37.37469136,14.21919753,247.9164809,256.8996667,265.7949735,287.4753889,350.9719488,49,102.2777778,43,121,246.0979667,231.9851667,132,4.113011905,0.129174221,0.351889768,0.242128288,0.077733452,0.167908914,0.224884819,0.238808818,0.082021219,0.0715276,0.607266922,0.205126852,0.136758472,0.058626108,0.016685979,0.057029651,0.028193404,0.042077025,0.005116198,96.2962963,1.037037037,10396000,19,132,139,40,47,2000-02-09,2000-02-16
1,1,10396000_20,0.166939434,261.9011128,0.261991212,249.6911407,281.7690895,0.042654753,84.80103472,0.116868192,-1.66547119,4.958267004,224.2726542,470.9655556,221.6634722,0.459019688,137.8782509,240.3653635,262.3698754,156.2962963,-0.919421173,-5.211414247,-4.813610977,-2.5484172,17.60131577,68.7197759,126.7340659,274.5885568,-0.303246714,0.012440519,32.46878704,1.1388375,282.1599278,162.0446889,283.2987653,116.4967519,278.3738889,417.6560185,280.7061292,99.06348519,50.38300926,87.59916667,84.47685185,78.06050926,77.56944444,88.74564815,82.40976852,84.10416667,39.98518519,15.16435185,271.5549718,275.0627111,274.9695977,286.5290148,360.5099204,44.42592593,115.3333333,51.24074074,122,268.481125,248.50825,215,4.250634211,0.232470608,0.090723637,0.328470578,0.015309221,0.214228392,0.119818544,0.29016091,0.033306363,0.169477868,0.220519555,0.280230155,0.040130744,0.107892921,0.054042584,0.084193354,0.045893804,0.07852894,0.028722748,100,1,10396000,20,215,156,123,64,2000-05-02,2000-03-04
1,1,10396000_21,0.024561047,256.671287,0.147711619,245.0857136,263.3980875,-0.109713371,123.9627747,0.153625278,-2.49545264,4.027167428,316.0722451,526.5067284,240.2246296,0.578624865,237.570637,235.7919155,255.756324,164.2222222,-1.851106543,-6.147808483,-5.779146575,-3.439071487,27.33062922,96.11992222,168.9132286,258.0471141,-0.239954826,0.187082845,19.77256543,24.22756852,264.858279,208.1179858,289.0858475,148.2113043,274.2726543,495.7324074,312.4690722,100.173908,54.29895062,96.59006173,93.15950617,83.19555556,91.47604938,103.2715432,91.09981481,92.42376543,41.24197531,15.45907407,261.9807401,260.9560901,255.6610815,258.3302056,327.864787,39.96296296,131.2037037,61.88888889,187,234.5264667,261.5798667,217,7.043339167,0.238877583,0.081930545,0.336191064,0.012937114,0.21234548,0.123185096,0.295752138,0.029908385,0.188908208,0.171293907,0.291769445,0.032297469,0.113024432,0.0570625,0.087469327,0.045090603,0.085129409,0.035686311,100,1,10396000,21,217,164,125,72,2000-05-04,2000-03-12
1,1,11381500_10,3.492251185,273.1742325,3.466955596,269.6835722,485.3866205,3.208902515,13.00106852,0.010349863,7.431849292,11.63567754,34.10354815,1037.714722,155.0347593,0.034536902,0.515251852,241.018965,323.628598,112.5925926,6.989886667,3.769744385,3.883367682,4.948866655,0.34704642,3.782486141,11.36759654,531.1174364,-2.056950971,-1.685670059,265.0426111,-307.2907389,534.7261833,-11.98292037,227.4354444,101.7803556,560.6797963,644.5419074,466.0270389,324.6830722,73.77694444,167.1566852,217.816537,235.4031481,173.3845556,165.6583704,88.16474074,42.08164815,21.03696296,3.751407407,386.3595759,495.0997222,552.7569963,566.0141111,553.9314519,90.73333333,9.074074074,4.02,NaN,NaN,NaN,159,7.281375,0.044913051,0.747087303,0.127724396,0.357366692,0.027027827,0.846174935,0.102009193,0.462955261,0.026652643,0.848284893,0.208299816,0.130660484,0.016313521,0.002017182,0.010405875,0.000730503,0.043388813,0.000710363,18.51851852,1.814814815,11381500,10,159,113,67,21,2000-03-07,2000-01-20
1,1,11381500_13,2.894894434,248.9777098,2.786054474,245.8684241,442.9793696,2.642676628,12.51435926,0.011462908,5.182126656,9.727586593,66.14046481,858.211963,146.4512222,0.078945592,6.840866667,222.769036,288.598482,120.8333333,5.220197407,2.030828136,2.053264994,3.02389288,1.27963216,9.964758065,27.9042776,472.9132269,-2.217677559,-1.565297563,235.3421611,-274.462263,481.2105852,10.40905,206.7483222,72.11662778,437.2411481,572.2819815,471.3481852,233.1826963,60.77537037,136.089,176.5772407,183.888537,150.0306481,146.957037,78.74922222,43.33144444,20.05457407,4.315981481,338.3071167,435.3692111,499.8493981,536.9707315,536.2079241,85.81578947,24.51851852,8.166666667,158,429.3995,445.2916,180,1.932921739,0.20167365,0.143634608,0.245021475,0.07414263,0.08527379,0.539818354,0.139634059,0.313919698,0.072285362,0.603455366,0.218156108,0.113021683,0.060035523,0.040672261,0.01949767,0.007271619,0.047592087,0.005225174,24.07407407,1.759259259,11381500,13,180,121,88,29,2000-03-28,2000-01-28
1,1,11381500_14,2.278144406,265.6782161,2.181804412,252.5058148,430.7100566,2.049782985,33.15798519,0.028820948,3.05629065,8.125268438,162.9700185,853.3757037,165.1145,0.189635185,83.0807,227.3855165,291.3830862,145.6851852,3.642851605,0.411312605,0.411399044,1.393519907,3.68905821,29.3988727,77.45030149,447.3993243,-2.538471914,-1.842330187,239.40675,-278.9906019,491.9125648,-36.30953519,212.921963,73.81186111,316.3052963,706.2103333,451.4896537,232.1928944,65.47475926,131.7482222,172.7306111,176.1775185,154.2227593,149.3238519,75.57985185,54.63174074,29.07403704,5.82887037,335.2605907,416.8514019,471.6852593,518.6466741,550.2595093,77.71153846,44.68518519,15.31481481,122,422.4608,427.4258,187,8.81327,0.214259961,0.119762703,0.247456552,0.0712235,0.065061856,0.640203916,0.085578822,0.538363982,0.113020982,0.415811259,0.18067682,0.191069645,0.061234745,0.045907331,0.007323735,0.004233045,0.032644113,0.012773742,12.96296296,1.87037037,11381500,14,187,146,95,54,2000-04-04,2000-02-22
1,1,11381500_16,1.925566984,227.5059221,1.917276888,212.3224444,369.4783761,1.643962415,72.45253796,0.061549778,1.632075089,6.76788656,300.518588,857.0686204,159.4390093,0.342988872,221.1414704,187.3553705,249.6562879,156.3333333,2.320854846,-0.879241607,-0.929226971,0.043607251,8.834715895,59.09893309,141.7777273,377.8441228,-2.513379127,-1.772644343,228.5309037,-253.8511824,440.8533481,3.272383333,187.0021657,96.82037778,245.6024352,772.8561111,424.7878574,278.2696963,63.21618519,132.7011204,172.9269722,178.8143796,154.0637593,151.6933333,75.90018519,51.33568519,26.92882407,5.274314815,287.5698806,354.7094157,398.1422222,443.8791602,504.4998463,66.09259259,66.59259259,22.44444444,90,331.2806,331.28205,216,5.067873684,0.264933789,0.052861071,0.310090228,0.022493002,0.150666784,0.276822049,0.157908521,0.254116972,0.194932096,0.157795103,0.264018308,0.053716513,0.09615595,0.070189913,0.024935101,0.02270048,0.069705667,0.037998522,18.51851852,1.814814815,11381500,16,216,156,124,64,2000-05-03,2000-03-04
