ID,GAGEID_short,Elev_band,AvgWinterTemp,AvgAnnualTemp,PeakSWE,NovTemp,DecTemp,JanTemp,FebTemp,Cluster
10396000_16,10396000,16,1.66607006,7.17090232,34.23346852,1.458611543,-2.703045759,-2.285155137,-0.022955355,1.018518519
10396000_17,10396000,17,1.271115435,6.879951549,33.77983519,1.140043364,-3.010164456,-2.608528256,-0.374357081,1.018518519
10396000_18,10396000,18,1.313122627,6.875478692,33.3718537,1.152291296,-3.001906452,-2.601633751,-0.360690364,1.018518519
10396000_19,10396000,19,-0.614971561,5.756775894,120.9284623,-0.107139712,-4.381709757,-3.99578871,-1.769273657,1.037037037
10396000_20,10396000,20,-1.66547119,4.958267004,224.2726542,-0.919421173,-5.211414247,-4.813610977,-2.5484172,1
10396000_21,10396000,21,-2.49545264,4.027167428,316.0722451,-1.851106543,-6.147808483,-5.779146575,-3.439071487,1
11381500_10,11381500,10,7.431849292,11.63567754,34.10354815,6.989886667,3.769744385,3.883367682,4.948866655,1.814814815
11381500_13,11381500,13,5.182126656,9.727586593,66.14046481,5.220197407,2.030828136,2.053264994,3.02389288,1.759259259
11381500_14,11381500,14,3.05629065,8.125268438,162.9700185,3.642851605,0.411312605,0.411399044,1.393519907,1.87037037
11381500_16,11381500,16,1.632075089,6.76788656,300.518588,2.320854846,-0.879241607,-0.929226971,0.043607251,1.814814815
11381500_18,11381500,18,1.662723214,6.800223638,300.2831685,2.352548086,-0.846948984,-0.916951553,0.05894501,1.814814815
11381500_20,11381500,20,-0.092451337,5.158672581,520.2152741,0.658460123,-2.543668339,-2.613822282,-1.649770142,1.407407407
11381500_21,11381500,21,-2.794371307,2.260506713,1600.267413,-2.348584815,-5.523869056,-5.603869654,-4.668519456,1.074074074
11381500_5,11381500,5,15.99229469,15.33417357,1.994838889,10.33967586,6.912635006,7.14780914,8.613689023,1.259259259
11381500_7,11381500,7,10.35853193,14.02024655,7.735740741,9.128629815,5.757025687,5.946553644,7.266596333,1.722222222
11381500_9,11381500,9,9.157046468,13.12198803,15.32819815,8.370844506,5.088464158,5.229566189,6.425912899,1.759259259
11383500_11,11383500,11,7.983855857,12.10550965,23.27657407,7.490859877,4.198105257,4.351996894,5.41891915,1.777777778
11383500_12,11383500,12,6.81005225,11.10019427,41.5987537,6.531548086,3.298025926,3.391418757,4.388111998,1.833333333
11383500_14,11383500,14,5.729713895,10.17570748,64.65073333,5.61572179,2.351219415,2.432493548,3.44361962,1.777777778
11383500_15,11383500,15,2.880911534,8.122136668,206.0929111,3.538619877,0.155935723,0.200497073,1.277105013,1.87037037
11383500_16,11383500,16,2.943429023,8.041882714,159.4981167,3.513532593,0.196434648,0.175029689,1.214872735,1.833333333
11383500_17,11383500,17,1.725652267,7.089236779,273.4996088,2.459799722,-1.016750149,-1.060809483,0.115237047,1.759259259
11383500_18,11383500,18,0.649570537,6.081675528,380.9147204,1.458921235,-2.018083542,-2.090123835,-0.908059737,1.685185185
11383500_6,11383500,6,14.5840884,15.06880941,3.359624074,10.16270593,6.798135603,7.06794773,8.439481625,1.444444444
11383500_7,11383500,7,10.58757489,13.70272657,9.684677778,8.99544642,5.711062127,5.923235006,7.120870642,1.685185185
11383500_9,11383500,9,8.990799193,12.89728038,15.6886,8.236127531,4.957252151,5.133230645,6.24302196,1.722222222
11473900_10,11473900,10,5.964493187,10.55470027,82.06433611,6.15180841,3.065431467,3.485536126,5.037741127,1.962962963
11473900_11,11473900,11,4.678242622,9.197779727,130.2028574,4.664040235,1.549882115,1.953356941,3.551629974,1.888888889
11473900_12,11473900,12,4.094165747,8.914113896,237.1295179,4.313319506,1.193856352,1.585094763,3.221704462,1.962962963
11473900_13,11473900,13,2.797707423,7.736132952,319.9735106,3.102012857,-0.052443284,0.317067409,1.961293355,1.981481481
11473900_14,11473900,14,1.896204332,6.932527417,450.2122319,2.285974907,-0.924965457,-0.563088993,1.064743218,1.944444444
11473900_15,11473900,15,1.570752804,6.727804147,558.908695,1.926389118,-1.299781831,-0.966722623,0.748657095,1.925925926
11473900_16,11473900,16,0.148241833,5.394477481,776.6333525,0.450520885,-2.760135783,-2.435289765,-0.664933643,1.555555556
11473900_17,11473900,17,-0.671517808,4.579798074,818.675812,-0.431798364,-3.705367593,-3.370061977,-1.575037035,1.333333333
11473900_7,11473900,7,8.07748331,11.97502965,16.79371337,7.511470206,4.508333951,4.914967968,6.495555662,1.796296296
11473900_8,11473900,8,6.948775466,10.96853027,43.46743074,6.591851914,3.59709276,3.999830705,5.554789938,1.851851852
11473900_9,11473900,9,6.26232079,10.31585608,59.98451111,5.906961399,2.859922242,3.282990681,4.840586045,1.833333333
11478500_10,11478500,10,4.174479472,8.108542441,125.8558407,4.356315648,1.413957855,1.765144564,3.204517109,1.888888889
11478500_11,11478500,11,3.6513622,8.028432898,173.2728074,3.868267963,0.832867588,1.187520379,2.745150829,1.851851852
11478500_12,11478500,12,1.388477076,5.90007368,495.5138407,1.825545,-1.176508423,-0.819838112,0.685636948,1.888888889
11478500_5,11478500,5,7.964231747,10.22483646,8.691114815,7.636405123,4.993462963,5.328025568,6.369131235,1.722222222
11478500_7,11478500,7,8.220389809,10.71016197,6.984248148,7.805865988,5.104957766,5.436939845,6.586850844,1.722222222
11478500_8,11478500,8,6.461523767,9.42945187,30.7149213,6.361078519,3.621050179,3.948896296,5.161382421,1.814814815
11478500_9,11478500,9,4.90710376,8.416333575,88.78339074,5.018556728,2.179047342,2.522428315,3.84235047,1.888888889
11482500_10,11482500,10,2.670347365,6.995099683,285.6107778,3.156202315,0.259917622,0.608879689,2.071063808,1.925925926
11482500_3,11482500,3,10.71900483,10.6509461,5.130324074,8.120647346,5.548066129,5.830902509,6.980260386,1.444444444
11482500_4,11482500,4,7.385637157,9.559114816,19.36226741,7.085236333,4.5322254,4.791877073,5.932419624,1.722222222
11482500_5,11482500,5,7.005059147,9.637244523,24.82405556,6.85302684,4.195724349,4.478133118,5.709134838,1.777777778
11482500_6,11482500,6,6.931090841,9.947398212,24.20773611,6.727547407,3.945469245,4.248529042,5.597771829,1.740740741
11482500_7,11482500,7,5.478941551,9.35650996,69.7902069,5.485674787,2.495603655,2.845383127,4.36705356,1.851851852
11482500_8,11482500,8,5.182069367,9.406569131,94.53362741,5.228160321,2.190808865,2.562410179,4.139222449,1.851851852
11482500_9,11482500,9,3.170987381,7.111979799,186.1889444,3.516997037,0.699318459,1.027097073,2.40730455,1.87037037
11523200_14,11523200,14,3.607014889,9.112853608,240.7243,3.87586179,0.431809618,0.667288232,2.476684029,1.851851852
11523200_15,11523200,15,1.307476572,7.06035321,467.7036364,1.788352366,-1.679673497,-1.427595042,0.465986075,1.722222222
11523200_16,11523200,16,0.11678619,5.86454646,631.517463,0.571889198,-2.890417921,-2.683685125,-0.744473456,1.333333333
11523200_17,11523200,17,-0.530956991,5.123739055,722.4979324,-0.024887253,-3.405579898,-3.277650538,-1.554028625,1.166666667
11523200_18,11523200,18,0.4743005,6.198365577,595.7324648,0.988981914,-2.418862843,-2.285982079,-0.44482614,1.462962963
11523200_19,11523200,19,-1.723486202,3.765933639,785.7866056,-1.370261481,-4.736612306,-4.66214098,-2.912613971,1
11528700_10,11528700,10,4.27814837,9.402551702,149.5668034,4.502860541,1.176496272,1.561015876,3.398977269,1.87037037
11528700_11,11528700,11,3.45627817,8.713391959,224.347546,3.751266805,0.400751017,0.754926163,2.586431176,1.888888889
11528700_12,11528700,12,2.694339232,8.048689884,351.5922821,3.058401662,-0.229995669,0.065813292,1.871866222,1.907407407
11528700_13,11528700,13,1.917529483,7.442069296,466.39881,2.302506691,-0.999145675,-0.717202282,1.103299983,1.851851852
11528700_14,11528700,14,1.650075451,7.082373504,727.8574667,2.018099877,-1.243230167,-0.944472521,0.846464601,1.925925926
11528700_15,11528700,15,0.986670727,6.34463709,830.0878944,1.294307346,-1.956428793,-1.636687037,0.148425201,1.796296296
11532500_10,11532500,10,2.850241294,6.311902826,359.1339781,3.323368654,0.754342652,0.979713931,2.112404683,1.907407407
11532500_11,11532500,11,1.530196475,5.873154044,780.5085565,2.030318765,-0.726654211,-0.470240233,0.896310966,1.87037037
11532500_12,11532500,12,0.94763634,4.801390437,707.2564741,1.502216065,-1.20876586,-0.98848523,0.302800782,1.759259259
