"","st.X","st.st.select","k"
"1",1,9217900,89.2207142089927
"2",2,9223000,36.5311054797524
"3",3,9312600,13.4349533061578
"4",4,10396000,74.7952808644688
"5",5,11381500,185.540684853604
"6",6,11383500,141.260866171782
"7",7,11473900,21.1521031992662
"8",8,11478500,34.7652346909972
"9",9,11482500,29.4306637205307
"10",10,11523200,62.0316954028028
"11",11,11528700,31.5850592428249
"12",12,11532500,70.1807907653517
"13",13,12041200,64.1908882515165
"14",14,12060500,60.9699168678504
"15",15,12083000,43.3373792755945
"16",16,12332000,51.4110244259089
"17",17,12358500,85.2683641954049
"18",18,12390700,40.4866197299091
"19",19,12411000,54.7529101295807
"20",20,12413000,52.1120501351862
"21",21,12414500,52.3321683111891
"22",22,12451000,104.574890905619
"23",23,12452800,66.7937255762874
"24",24,13011500,48.6704340324789
"25",25,13011900,68.242130463729
"26",26,13161500,26.3249690719941
"27",27,13185000,60.8209157652697
"28",28,13310700,69.0928067479983
"29",29,13337000,62.7584188143628
"30",30,13338500,33.981215713795
"31",31,13340000,45.2378314666601
"32",32,13340600,78.9125628194802
"33",33,14222500,39.2322404198126
"34",34,14309500,25.0749388116612
"35",35,14400000,49.8490193151127
