station_id	cluster	correlation	partial_correlation	Storage coefficient		Avg_wint_temp	Winter_P
09217900	1	0.076148023	0.115727916	NA	9217900	-9.688691394	463.8635391
09223000	1	0.038249314	0.210778521	NA	9223000	-8.0539104	456.9265844
11473900	2	0.188653287	-0.012311882	25	11473900	4.19756147	1175.043028
11478500	2	0.007853669	0.05238963	25	11478500	4.483743646	1179.228472
11482500	2	0.088278313	0.018235556	NA	11482500	5.44952798	1354.186189
11528700	2	0.080271385	0.017969922	42	11528700	3.432952241	1127.368361
12041200	1	0.161979935	0.123980274	64	12041200	2.760792301	2845.088439
12083000	2	0.160380034	0.02299778	50	12083000	NA	NA
12390700	1	0.086026142	0.145158387	NA	12390700	-1.139372315	741.7500952
12411000	1	-0.050495352	0.241326052	NA	12411000	-1.866325686	775.8787969
12413000	1	0.009104242	0.242731739	NA	12413000	-0.899735774	794.0087477
12452800	1	0.072450921	0.402044823	62	12452800	-4.81680007	917.8492484
12488500	1	0.120292704	0.312060999	57	12488500	-1.954120422	1238.02838
13011500	1	0.020440493	0.588905567	NA	13011500	-8.15638771	679.2579691
13185000	1	0.151084095	0.457499333	NA	13011500	NA	NA
13310700	1	0.12330616	0.497447626	NA	13310700	-4.467292617	788.4309171
13337000	1	0.105558132	0.44696105	NA	13337000	-3.551904793	811.5852372
13338500	1	0.250622517	0.309184561	NA	13338500	-1.240803561	479.7621569
13340000	1	0.149261107	0.359725732	NA	13340000	-2.065245218	629.9725235
13340600	1	0.105499562	0.485630487	NA	13340600	-2.835809538	924.8820167
14182500	2	0.263149293	0.151272205	38	14182500	3.457519446	1633.918032
14222500	2	0.305919347	0.142583917	61	14222500	3.701130233	1810.995438
14309500	2	0.104587429	0.166409652	34	14309500	5.185622828	1618.494556
14400000	2	-0.01916851	-0.041797959	28	14400000	5.281030785	2739.283213
