"","k","Regime","t_regime","PRE","LT"
"1",13.4349533061578,"Fast","Interior",31.5723753844047,1
"2",141.260866171782,"Slow","Maritime",13.4322348138882,1
"3",51.4110244259089,"Slow","Interior",10.3818454311511,1
"4",26.3249690719941,"Fast","Interior",20.0465994175051,1
"5",60.8209157652697,"Slow","Interior",10.6211787844762,1
"6",33.981215713795,"Fast","Interior",8.64423437296211,1
"7",13.4349533061578,"Fast","Interior",29.6942592076333,2
"8",185.540684853604,"Slow","Maritime",11.3779096332048,2
"9",141.260866171782,"Slow","Maritime",24.0056067067325,2
"10",21.1521031992662,"Fast","Maritime",7.87099991212731,2
"11",31.5850592428249,"Fast","Maritime",10.5079627778263,2
"12",51.4110244259089,"Slow","Interior",8.84327513302949,2
"13",54.7529101295807,"Slow","Interior",11.2843475433945,2
"14",52.1120501351862,"Slow","Interior",7.67650837718251,2
"15",26.3249690719941,"Fast","Interior",26.1672951866767,2
"16",60.8209157652697,"Slow","Interior",11.7696299848965,2
"17",33.981215713795,"Fast","Interior",7.89238280553775,2
"18",13.4349533061578,"Fast","Interior",30.1617420876609,3
"19",141.260866171782,"Slow","Maritime",19.4320055624185,3
"20",60.9699168678504,"Slow","Maritime",18.0990365080785,3
"21",51.4110244259089,"Slow","Interior",8.4550124337755,3
"22",54.7529101295807,"Slow","Interior",7.78515823301727,3
"23",26.3249690719941,"Fast","Interior",26.4575217202034,3
"24",60.8209157652697,"Slow","Interior",11.0739623539428,3
"25",13.4349533061578,"Fast","Interior",29.8992399704388,4
"26",141.260866171782,"Slow","Maritime",13.9196544893131,4
"27",51.4110244259089,"Slow","Interior",7.38465972160494,4
"28",26.3249690719941,"Fast","Interior",30.0596573911953,4
"29",60.8209157652697,"Slow","Interior",9.97979157337031,4
"30",36.5311054797524,"Fast","Interior",7.50930598719768,5
"31",13.4349533061578,"Fast","Interior",25.2954774977825,5
"32",21.1521031992662,"Fast","Maritime",7.94322042968398,5
"33",26.3249690719941,"Fast","Interior",31.1169691721484,5
"34",60.8209157652697,"Slow","Interior",9.15543810764947,5
